grupo	inscricao	arquivo_original	caminho_em_composicoes_brutas	anotacoes	adequacao_ao_tema	adequacao_a_coletanea	adequacao_ao_tipo_de_texto	adequacao_a_norma_padrao	coesao	coerencia	pontuacao_total
250_maiores_notas	39684	39684 (0502-015).txt	corpus/01_composicoes_brutas/maiores_notas/39684.txt		3.5	4.5	3.5	3	3.5	2.5	20.5
250_maiores_notas	39810	39810 (0510-004).txt	corpus/01_composicoes_brutas/maiores_notas/39810.txt		3.5	3	3.5	2.5	4	4	20.5
250_maiores_notas	40004	40004 (0414-040).txt	corpus/01_composicoes_brutas/maiores_notas/40004.txt	(Gás Carbônico)	3	2	4	4.5	2	5	20.5
250_maiores_notas	40130	40130 (0469-006).txt	corpus/01_composicoes_brutas/maiores_notas/40130.txt	(fogo); (água); (terra); (ar); (provocada pelo rompimento das barragens)	3.5	3.5	3.5	3.5	3.5	3	20.5
250_maiores_notas	40449	40449 (0455-007).txt	corpus/01_composicoes_brutas/maiores_notas/40449.txt		3.5	3.5	3.5	4	2.5	3.5	20.5
250_maiores_notas	40697	40697 (0456-013).txt	corpus/01_composicoes_brutas/maiores_notas/40697.txt	{FO: mal uso}; (ou ignorar)	3.5	3.5	3.5	3	3.5	3.5	20.5
250_maiores_notas	41088	41088 (0432-012).txt	corpus/01_composicoes_brutas/maiores_notas/41088.txt		3.5	4	3.5	3	3	3.5	20.5
250_maiores_notas	45576	45576 (0456-011).txt	corpus/01_composicoes_brutas/maiores_notas/45576.txt	(água, ar, terra e fogo)	3.5	3.5	3.5	2.5	4	3.5	20.5
250_maiores_notas	46771	46771 (0519-007).txt	corpus/01_composicoes_brutas/maiores_notas/46771.txt		3	2	3.5	4.5	4.5	3	20.5
250_maiores_notas	32875	32875 (0413-027).txt	corpus/01_composicoes_brutas/maiores_notas/32875.txt		4	3.5	4.5	3	2	3	20
250_maiores_notas	33083	33083_(0496-015).txt	corpus/01_composicoes_brutas/maiores_notas/33083.txt		2.5	2.5	3.5	4.5	3.5	3.5	20
250_maiores_notas	33228	33228 (0509-018).txt	corpus/01_composicoes_brutas/maiores_notas/33228.txt	{FO: acumulo}; {FO: especies}	2.5	3	3.5	4	4	3	20
250_maiores_notas	33849	33849 (0416-012).txt	corpus/01_composicoes_brutas/maiores_notas/33849.txt	{FO: estar}; (O rompimento das duas barragens de rejeitos minerais na cidade de Mariana, Minas Gerais); {FO: reuna}	3.5	2.5	4	3	3	4	20
250_maiores_notas	34032	34032 (0500-003).txt	corpus/01_composicoes_brutas/maiores_notas/34032.txt		3	3	3	4.5	3.5	3	20
250_maiores_notas	34116	34116 (0506-037).txt	corpus/01_composicoes_brutas/maiores_notas/34116.txt		2.5	2.5	3.5	4	4	3.5	20
250_maiores_notas	34419	34419 (0521-040)_corrigido.txt	corpus/01_composicoes_brutas/maiores_notas/34419.txt		3	3	3.5	3	3.5	4	20
250_maiores_notas	34511	34511 (0415-015).txt	corpus/01_composicoes_brutas/maiores_notas/34511.txt		3.5	3.5	4	3.5	2	3.5	20
250_maiores_notas	34675	34675 (0455-030).txt	corpus/01_composicoes_brutas/maiores_notas/34675.txt		3	3.5	3.5	3.5	3.5	3	20
250_maiores_notas	34802	34802 (0513-012).txt	corpus/01_composicoes_brutas/maiores_notas/34802.txt		3	2.5	3	4	4	3.5	20
250_maiores_notas	35125	35125 (0491-003).txt	corpus/01_composicoes_brutas/maiores_notas/35125.txt	{FO: matéria prima}	3	2	3.5	4	3.5	4	20
250_maiores_notas	35451	35451 (0522-021).txt	corpus/01_composicoes_brutas/maiores_notas/35451.txt	(terra, fogo, ar e água)	3	3	3	4	4	3	20
250_maiores_notas	35496	35496 (0476-002).txt	corpus/01_composicoes_brutas/maiores_notas/35496.txt	{FO: además}	3	3	4	3	3	4	20
250_maiores_notas	35647	35647 (0455-040).txt	corpus/01_composicoes_brutas/maiores_notas/35647.txt	{FO: permanencia}; {FO: manhã}; {FO: máquinas}; {FO: através}; {FO: BeloMonte}; {FO: espécies}	3	3	3	4	4	3	20
250_maiores_notas	35867	35867 (0419-017).txt	corpus/01_composicoes_brutas/maiores_notas/35867.txt		3	3	2.5	4	4	3.5	20
250_maiores_notas	36214	36214 (0516-003).txt	corpus/01_composicoes_brutas/maiores_notas/36214.txt		4	2.5	2.5	4	2.5	4.5	20
250_maiores_notas	36260	36260 (0518-004).txt	corpus/01_composicoes_brutas/maiores_notas/36260.txt	{FO: saudaveis}; {FO: arvore}; {FO: arvores}; {FO: a}; {FO: diminuia}; {FO: arvore}	3	3	4	3	3.5	3.5	20
250_maiores_notas	36261	36261 (0456-006).txt	corpus/01_composicoes_brutas/maiores_notas/36261.txt	[ilegível: contorno?]; (interferência no ciclo hídrico do país)	3	3	3	4	4	3	20
250_maiores_notas	36494	36494 (0510-011).txt	corpus/01_composicoes_brutas/maiores_notas/36494.txt	(Fogo, Terra, Ar e Água); (PA)	3	3	4	3	3.5	3.5	20
250_maiores_notas	36626	36626 (0487-018).txt	corpus/01_composicoes_brutas/maiores_notas/36626.txt	"{FO: ""seu""}; {FO: a}; {FO: a}; (a partir de leis); (pelas mídias sociais)"	3.5	3	3	4	3	3.5	20
250_maiores_notas	36777	36777 (0454-018).txt	corpus/01_composicoes_brutas/maiores_notas/36777.txt	(não sustentável)	3.5	1.5	4	5	3	3	20
250_maiores_notas	36862	36862 (0483-035).txt	corpus/01_composicoes_brutas/maiores_notas/36862.txt		3	3	4	4	3	3	20
250_maiores_notas	36988	36988 (0488-014).txt	corpus/01_composicoes_brutas/maiores_notas/36988.txt		3	3	3.5	3.5	4	3	20
250_maiores_notas	37284	37284 (0526-028).txt	corpus/01_composicoes_brutas/maiores_notas/37284.txt		3	4	3	4	4	2	20
250_maiores_notas	37386	37386 (0482-015).txt	corpus/01_composicoes_brutas/maiores_notas/37386.txt	(gado); (efeito estufa)	4	3.5	3	4	2	3.5	20
250_maiores_notas	37753	37753 (0526-022).txt	corpus/01_composicoes_brutas/maiores_notas/37753.txt		3	3	3	4	3	4	20
250_maiores_notas	37801	37801 (0507-021).txt	corpus/01_composicoes_brutas/maiores_notas/37801.txt		3	3	3.5	3.5	4	3	20
250_maiores_notas	37817	37817 (0507-009).txt	corpus/01_composicoes_brutas/maiores_notas/37817.txt		4	4	4	0	4	4	20
250_maiores_notas	37922	37922 (0487-025).txt	corpus/01_composicoes_brutas/maiores_notas/37922.txt		4	3	3.5	3	2.5	4	20
250_maiores_notas	38367	38367 (0485-004).txt	corpus/01_composicoes_brutas/maiores_notas/38367.txt	{FO: revolução industrial}; {FO: vêm}; {FO: habitat}; {FO: conscientizados que}	3	3	4	3	4	3	20
250_maiores_notas	38562	38562 (0416-027).txt	corpus/01_composicoes_brutas/maiores_notas/38562.txt		3	1.5	3.5	5	3	4	20
250_maiores_notas	38612	38612 (0506-029).txt	corpus/01_composicoes_brutas/maiores_notas/38612.txt		2.5	2.5	3.5	3.5	4	4	20
250_maiores_notas	38672	38672 (0492-021).txt	corpus/01_composicoes_brutas/maiores_notas/38672.txt	(Fogo, Ar, Água e Terra)	3.5	3.5	3.5	2.5	3.5	3.5	20
250_maiores_notas	39108	39108 (0521-028).txt	corpus/01_composicoes_brutas/maiores_notas/39108.txt		3.5	3.5	3.5	1.5	4	4	20
250_maiores_notas	39227	39227 (0456-005).txt	corpus/01_composicoes_brutas/maiores_notas/39227.txt	(ou não)	3.5	3.5	3.5	3	3.5	3	20
250_maiores_notas	39663	39663 (0424-019).txt	corpus/01_composicoes_brutas/maiores_notas/39663.txt	(água, fogo, terra e ar)	3	3	2.5	5	4	2.5	20
250_maiores_notas	40289	40289 (0435-005).txt	corpus/01_composicoes_brutas/maiores_notas/40289.txt	{FO: não governamentais}	3.5	3.5	3	3.5	3	3.5	20
250_maiores_notas	40710	40710 (0489-016).txt	corpus/01_composicoes_brutas/maiores_notas/40710.txt	{FO: como}	3	3	3.5	4	3.5	3	20
250_maiores_notas	41022	41022 (0510-002).txt	corpus/01_composicoes_brutas/maiores_notas/41022.txt	{FO: têm}; {FO: precisam}	3.5	3	4	1.5	4.5	3.5	20
250_maiores_notas	45015	45015 (0501-009).txt	corpus/01_composicoes_brutas/maiores_notas/45015.txt		4	3	3	2.5	4.5	3	20
250_maiores_notas	45081	45081 (0485-025).txt	corpus/01_composicoes_brutas/maiores_notas/45081.txt		4	4	4	1.5	3	3.5	20
250_maiores_notas	45186	45186 (0519-021).txt	corpus/01_composicoes_brutas/maiores_notas/45186.txt		2.5	2	3.5	5	4	3	20
250_maiores_notas	32757	32757 (0469-024).txt	corpus/01_composicoes_brutas/maiores_notas/32757.txt		3	3	3	4.5	3	3	19.5
250_maiores_notas	33914	33914 (0406-029).txt	corpus/01_composicoes_brutas/maiores_notas/33914.txt	{FO: inconscenquente}	3	2	3	3	4.5	4	19.5
250_maiores_notas	34175	34175 (0514-037).txt	corpus/01_composicoes_brutas/maiores_notas/34175.txt	(lixões); (contaminação da água); (poluição do rio e do solo)	2.5	2.5	2.5	4	4.5	3.5	19.5
250_maiores_notas	34381	34381 (0516-005).txt	corpus/01_composicoes_brutas/maiores_notas/34381.txt	(Globo)	3.5	4	3.5	3	2.5	3	19.5
250_maiores_notas	34461	34461 (0478-014).txt	corpus/01_composicoes_brutas/maiores_notas/34461.txt		3	3	4	3.5	3	3	19.5
250_maiores_notas	34832	34832 (0518-014).txt	corpus/01_composicoes_brutas/maiores_notas/34832.txt		3	3	3.5	3	4	3	19.5
250_maiores_notas	34875	34875 (0473-031).txt	corpus/01_composicoes_brutas/maiores_notas/34875.txt		2.5	1	4	4	4.5	3.5	19.5
250_maiores_notas	34967	34967 (0499-029).txt	corpus/01_composicoes_brutas/maiores_notas/34967.txt	{FO: estivél}; {FO: produtório}	3	3.5	3.5	2.5	4	3	19.5
250_maiores_notas	35126	35126 (0455-019).txt	corpus/01_composicoes_brutas/maiores_notas/35126.txt		3	1.5	3.5	4.5	4	3	19.5
250_maiores_notas	35378	35378 (0512-039).txt	corpus/01_composicoes_brutas/maiores_notas/35378.txt	{FO: maleficas}; {FO: Entretanto}	4	2.5	4	3	4	2	19.5
250_maiores_notas	35482	35482 (0417-022).txt	corpus/01_composicoes_brutas/maiores_notas/35482.txt		3	3	3	4	3	3.5	19.5
250_maiores_notas	35542	35542 (0484-010).txt	corpus/01_composicoes_brutas/maiores_notas/35542.txt		3	3	3.5	4	2.5	3.5	19.5
250_maiores_notas	35734	35734 (0513-006).txt	corpus/01_composicoes_brutas/maiores_notas/35734.txt		4.5	4.5	4.5	3	0	3	19.5
250_maiores_notas	36245	36245 (0475-025).txt	corpus/01_composicoes_brutas/maiores_notas/36245.txt	{FO: climaticas}; {FO: tecnica}; {FO: maleficios}; {FO: climaticas}; {FO: propõem?}; {FO: diplomático?}; {FO: economicos}; {FO: sobrepõem?}	3	3	3.5	3.5	3.5	3	19.5
250_maiores_notas	36385	36385 (0487-006).txt	corpus/01_composicoes_brutas/maiores_notas/36385.txt		3	3	3	4	3.5	3	19.5
250_maiores_notas	36442	36442 (0516-028).txt	corpus/01_composicoes_brutas/maiores_notas/36442.txt		3.5	3	2.5	4	2.5	4	19.5
250_maiores_notas	36577	36577 (0495-028).txt	corpus/01_composicoes_brutas/maiores_notas/36577.txt	{FO: pre-fixada}; {FO: harmonica}; {FO: importancia}; {FO: especies}	2.5	2.5	3.5	4.5	3.5	3	19.5
250_maiores_notas	36769	36769 (0417-014).txt	corpus/01_composicoes_brutas/maiores_notas/36769.txt		3	2.5	3	4	4	3	19.5
250_maiores_notas	36794	36794 (0471-024).txt	corpus/01_composicoes_brutas/maiores_notas/36794.txt	{FO: a}	3	3.5	2.5	4.5	3	3	19.5
250_maiores_notas	36966	36966 (0517-011).txt	corpus/01_composicoes_brutas/maiores_notas/36966.txt		3	2.5	3.5	4	3	3.5	19.5
250_maiores_notas	36976	36976 (0413-039).txt	corpus/01_composicoes_brutas/maiores_notas/36976.txt	{FO: harmônia}; {FO: inundiu}	4	4.5	4	0	3	4	19.5
250_maiores_notas	37416	37416 (0453-012).txt	corpus/01_composicoes_brutas/maiores_notas/37416.txt		4	4	4	0.5	3	4	19.5
250_maiores_notas	37754	37754 (0460-003).txt	corpus/01_composicoes_brutas/maiores_notas/37754.txt		3	3	2.5	3	4	4	19.5
250_maiores_notas	37783	37783 (0417-027).txt	corpus/01_composicoes_brutas/maiores_notas/37783.txt		4	4	3	2	3	3.5	19.5
250_maiores_notas	38061	38061 (0416-033).txt	corpus/01_composicoes_brutas/maiores_notas/38061.txt		3.5	3	3	3.5	3	3.5	19.5
250_maiores_notas	38493	38493 (0503-008).txt	corpus/01_composicoes_brutas/maiores_notas/38493.txt		3	3	3	4	3	3.5	19.5
250_maiores_notas	38584	38584 (0402-028).txt	corpus/01_composicoes_brutas/maiores_notas/38584.txt		2.5	2	3	4	4	4	19.5
250_maiores_notas	39244	39244 (0467-027).txt	corpus/01_composicoes_brutas/maiores_notas/39244.txt		2.5	2.5	3.5	4	4	3	19.5
250_maiores_notas	39298	39298 (0469-021).txt	corpus/01_composicoes_brutas/maiores_notas/39298.txt		3	3	4	4.5	2	3	19.5
250_maiores_notas	39614	39614 (0477-017).txt	corpus/01_composicoes_brutas/maiores_notas/39614.txt		3	3	3.5	3	4	3	19.5
250_maiores_notas	39716	39716 (0461-014).txt	corpus/01_composicoes_brutas/maiores_notas/39716.txt	(terra, ar, fogo e água)	3	3.5	3.5	3.5	3	3	19.5
250_maiores_notas	40663	40663 (0523-007).txt	corpus/01_composicoes_brutas/maiores_notas/40663.txt		4	2.5	4	3	3	3	19.5
250_maiores_notas	41023	41023 (0455-016).txt	corpus/01_composicoes_brutas/maiores_notas/41023.txt	{FO: a condição}; {FO: a}; {FO: a condição}; {FO: a sobrevivência}; {FO: a sociedade}; {FO: lhe}; {FO: traz}	3	3.5	4	2.5	2.5	4	19.5
250_maiores_notas	46479	46479 (0514-039).txt	corpus/01_composicoes_brutas/maiores_notas/46479.txt		3	3	3	3.5	4	3	19.5
250_maiores_notas	46998	46998 (0507-048).txt	corpus/01_composicoes_brutas/maiores_notas/46998.txt		3.5	4	3	3	2	4	19.5
250_maiores_notas	47002	47002 (0520-020).txt	corpus/01_composicoes_brutas/maiores_notas/47002.txt		2.5	2.5	3.5	4	4	3	19.5
250_maiores_notas	47099	47099 (0473-020).txt	corpus/01_composicoes_brutas/maiores_notas/47099.txt		3	3.5	2.5	4	3	3.5	19.5
250_maiores_notas	33383	33383 (0438-006).txt	corpus/01_composicoes_brutas/maiores_notas/33383.txt	{FO: tem}	3	3	3.5	2.5	4	3	19
250_maiores_notas	33975	33975 (0482-028).txt	corpus/01_composicoes_brutas/maiores_notas/33975.txt	{FO: pra}; (Naufrágio)	3	2.5	3	5	3	2.5	19
250_maiores_notas	33978	33978 (0516-031).txt	corpus/01_composicoes_brutas/maiores_notas/33978.txt	{FO: industrias}; {FO: Ozônio}; (O3)	3.5	3.5	4	1	4	3	19
250_maiores_notas	34050	34050 (0482-008).txt	corpus/01_composicoes_brutas/maiores_notas/34050.txt		3.5	3.5	3	3.5	2	3.5	19
250_maiores_notas	34086	34086 (0469-004).txt	corpus/01_composicoes_brutas/maiores_notas/34086.txt	(Pará); (Minas Gerais); (novembro de 2015); (dona da Samarco)	3	3	3.5	4	2.5	3	19
250_menores_notas	34356	34356 (0528-002).txt	corpus/01_composicoes_brutas/menores_notas/34356.txt	{FO: ja}; {FO: predios}; {FO: à partir}; {FO: agua}; {FO: area}; {FO: arvores}	0	0	0	0	0	0	0
250_menores_notas	35071	35071 (0483-004).txt	corpus/01_composicoes_brutas/menores_notas/35071.txt		0	0	0	0	0	0	0
250_menores_notas	35217	35217 (0435-018).txt	corpus/01_composicoes_brutas/menores_notas/35217.txt	{FO: ultimo}; {FO: utimo}; {FO: Entupimentos}; {FO: destruição}; {FO: devastação}; {FO: país}; {FO: da}; {FO: escrupulos}	0	0	0	0	0	0	0
250_menores_notas	37999	37999 (0401-002).txt	corpus/01_composicoes_brutas/menores_notas/37999.txt	{FO: a}; {FO: a}; {FO: a}	0	0	0	0	0	0	0
250_menores_notas	38172	38172 (0446-005).txt	corpus/01_composicoes_brutas/menores_notas/38172.txt	{FO: aonde}; {FO: engolio}	0	0	0	0	0	0	0
250_menores_notas	38677	38677 (0401-015).txt	corpus/01_composicoes_brutas/menores_notas/38677.txt		0	0	0	0	0	0	0
250_menores_notas	39124	39124 (0429-013).txt	corpus/01_composicoes_brutas/menores_notas/39124.txt		0	0	0	0	0	0	0
250_menores_notas	40426	40426 (0469-032).txt	corpus/01_composicoes_brutas/menores_notas/40426.txt	(sua casa)	0	0	0	0	0	0	0
250_menores_notas	46743	46743 (0495-027).txt	corpus/01_composicoes_brutas/menores_notas/46743.txt	{FO: a fim}	0	0	0	0	0	0	0
250_menores_notas	40929	40929 (0483-021).txt	corpus/01_composicoes_brutas/menores_notas/40929.txt		0.5	0.5	0.5	0.5	0.5	0.5	3
250_menores_notas	37224	37224 (0524-002).txt	corpus/01_composicoes_brutas/menores_notas/37224.txt	{FO: tragédias}; {FO: atravéz}	1	1	1	0	0	1	4
250_menores_notas	45075	45075 (0486-018).txt	corpus/01_composicoes_brutas/menores_notas/45075.txt	[ilegível]; [ilegível]; [ilegível]; [ilegível]	1	1	1	0	0	1	4
250_menores_notas	34362	34362 (0452-005).txt	corpus/01_composicoes_brutas/menores_notas/34362.txt	{FO: vem}; {FO: maléficios}; {FO: consequencias}; {FO: consequências}; {FO: prejuízo}; {FO: moradios}	1	0.5	1.5	0	0	1.5	4.5
250_menores_notas	47046	47046 (0453-009).txt	corpus/01_composicoes_brutas/menores_notas/47046.txt	{FO: observase}; {FO: concluise}; {FO: nos}	1	1.5	1.5	0	0	1.5	5.5
250_menores_notas	38310	38310 (0413-005).txt	corpus/01_composicoes_brutas/menores_notas/38310.txt		1	0.5	1.5	0	2	1	6
250_menores_notas	39164	39164 (0513-009).txt	corpus/01_composicoes_brutas/menores_notas/39164.txt		1	0.5	1	1.5	1	1	6
250_menores_notas	32674	32674 (0460-006)(2).txt	corpus/01_composicoes_brutas/menores_notas/32674.txt		1	1	2	0.5	1	1	6.5
250_menores_notas	38555	38555 (0465-014).txt	corpus/01_composicoes_brutas/menores_notas/38555.txt		2	1.5	2	0	0	1	6.5
250_menores_notas	46273	46273 (0527-008).txt	corpus/01_composicoes_brutas/menores_notas/46273.txt	{FO: trás}; {FO: acumulo}; {FO: trás}; {FO: polui}; {FO: trás}	1	1	1	1	1.5	1	6.5
250_menores_notas	32792	32792 (0453-008).txt	corpus/01_composicoes_brutas/menores_notas/32792.txt	(Preservação redobrada com a conscientização do homem com a natureza); (pecuaria, industrias etc.)	1	1.5	2	0	1	1.5	7
250_menores_notas	35549	35549 (0507-027).txt	corpus/01_composicoes_brutas/menores_notas/35549.txt	{FO: desperdicios}; {FO: natureza}; {FO: obtem}; {FO: irresposabilidade}; {FO: bio-degradavel}; {FO: ongs}	1	1	2.5	0	1	1.5	7
250_menores_notas	35577	35577 (0524-015).txt	corpus/01_composicoes_brutas/menores_notas/35577.txt	{FO: a}; {FO: poluidos}; {FO: naufragios}; {FO: as}; {FO: poluidos}; {FO: especies}; {FO: a}; {FO: ultimos}; {FO: conscientização}; {FO: águas}	1	1	1	0	3	1	7
250_menores_notas	36742	36742 (0524-010).txt	corpus/01_composicoes_brutas/menores_notas/36742.txt	{FO: têm}; {FO: a natureza}; {FO: têm}; {FO: a}	1	1	2	0	2	1	7
250_menores_notas	38196	38196 (0414-018).txt	corpus/01_composicoes_brutas/menores_notas/38196.txt		1	1	1	2	1	1	7
250_menores_notas	38794	38794 (0452-016).txt	corpus/01_composicoes_brutas/menores_notas/38794.txt		1	1.5	1.5	0	1	2	7
250_menores_notas	38928	38928 (0432-011).txt	corpus/01_composicoes_brutas/menores_notas/38928.txt		1.5	0.5	2	1	0	2	7
250_menores_notas	38957	38957 (0529-009).txt	corpus/01_composicoes_brutas/menores_notas/38957.txt		1.5	2	1.5	0	0	2	7
250_menores_notas	40496	40496 (0507-007).txt	corpus/01_composicoes_brutas/menores_notas/40496.txt		1	1	1.5	1	1.5	1	7
250_menores_notas	32755	32755 (0410-007).txt	corpus/01_composicoes_brutas/menores_notas/32755.txt		1.5	1	2.5	0.5	0.5	1.5	7.5
250_menores_notas	36000	36000 (0508-013).txt	corpus/01_composicoes_brutas/menores_notas/36000.txt	{FO: e}; {FO: dia-a-dia}; {FO: e}; {FO: necessaria}; {FO: desnecessarios}; {FO: reservatorios}; {FO: viaveis}; {FO: praticas}; {FO: proprio}; {FO: e}; {FO: sobrevivencia}; {FO: publicas}; {FO: publicas}	1.5	1.5	2	0	0.5	2	7.5
250_menores_notas	37010	37010 (0524-022).txt	corpus/01_composicoes_brutas/menores_notas/37010.txt		1	1	2.5	0	2	1	7.5
250_menores_notas	37345	37345 (0524-003).txt	corpus/01_composicoes_brutas/menores_notas/37345.txt	{FO: irresponsaveis}; {FO: familias}; {FO: naufragio}; {FO: embarcações}; {FO: varias}; {FO: especies}; {FO: sobrevivencia}; {FO: familias}; {FO: tragedia}; {FO: varias}; {FO: construido}; {FO: varias}	2	2	1.5	0	0	2	7.5
250_menores_notas	32782	32782 (0439-029).txt	corpus/01_composicoes_brutas/menores_notas/32782.txt		1	1	2	0	3	1	8
250_menores_notas	34025	34025 (0468-006).txt	corpus/01_composicoes_brutas/menores_notas/34025.txt		1	1	2	0.5	2.5	1	8
250_menores_notas	34714	34714 (0433-004).txt	corpus/01_composicoes_brutas/menores_notas/34714.txt	{FO: indiscutivel}; {FO: a}	2	1	2	0	1	2	8
250_menores_notas	35291	35291 (0499-009).txt	corpus/01_composicoes_brutas/menores_notas/35291.txt	{FO: consequênçias}; {FO: indigenas}; {FO: à}; {FO: catástrofes?}	1	1	1	0	4	1	8
250_menores_notas	36181	36181 (0506-039).txt	corpus/01_composicoes_brutas/menores_notas/36181.txt	{FO: valorizare}	2	2	1	0	1	2	8
250_menores_notas	36238	36238 (0479-023).txt	corpus/01_composicoes_brutas/menores_notas/36238.txt	{FO: licho}	1	1	1.5	0	3	1.5	8
250_menores_notas	36524	36524 (0522-023).txt	corpus/01_composicoes_brutas/menores_notas/36524.txt	{FO: chega-se}; {FO: mais}; {FO: ja}; {FO: ja}; {FO: ja}; {FO: historia}; {FO: chegara}; {FO: deveriamos}; {FO: podera}; {FO: a}	1	1	1	0.5	3.5	1	8
250_menores_notas	37078	37078 (0447-003).txt	corpus/01_composicoes_brutas/menores_notas/37078.txt	{FO: seculo}; {FO: vitima}; {FO: acida}; {FO: furacões}; {FO: tem}; {FO: ultimas}; {FO: decadas}; {FO: a}; {FO: irresponsavel}; {FO: varias}; {FO: especies}; {FO: extinção}; {FO: decorrência}; {FO: até}; {FO: orgãos}; {FO: relevância}; {FO: hâmbito}; (organização das nações unidas); {FO: sustentável}; {FO: agua}; {FO: existência}; {FO: varios}; {FO: além}; {FO: importância}	1	1	2	0	3	1	8
250_menores_notas	38917	38917 (0410-011).txt	corpus/01_composicoes_brutas/menores_notas/38917.txt		2	2	1.5	1	1	0.5	8
250_menores_notas	39446	39446 (0449-030).txt	corpus/01_composicoes_brutas/menores_notas/39446.txt		1.5	1	1.5	0.5	2	1.5	8
250_menores_notas	39914	39914 (0526-027).txt	corpus/01_composicoes_brutas/menores_notas/39914.txt		1	1.5	2	0.5	0.5	2.5	8
250_menores_notas	40368	40368 (0507-015).txt	corpus/01_composicoes_brutas/menores_notas/40368.txt		1	1	3	0	2	1	8
250_menores_notas	40887	40887 (0411-026).txt	corpus/01_composicoes_brutas/menores_notas/40887.txt		1	1	2	2.5	0	1.5	8
250_menores_notas	41093	41093 (0471-030).txt	corpus/01_composicoes_brutas/menores_notas/41093.txt		1	1	1	1.5	2	1.5	8
250_menores_notas	45268	45268 (0423-026).txt	corpus/01_composicoes_brutas/menores_notas/45268.txt		2	1.5	1.5	0	1.5	1.5	8
250_menores_notas	45638	45638 (0524-004).txt	corpus/01_composicoes_brutas/menores_notas/45638.txt	(os rios fertilizavam o solo); (água, terra, ar e fogo)	1	1	2	0	3	1	8
250_menores_notas	45746	45746 (0439-024).txt	corpus/01_composicoes_brutas/menores_notas/45746.txt		1	1	2	0	3	1	8
250_menores_notas	33167	33167_0410-030.txt	corpus/01_composicoes_brutas/menores_notas/33167.txt		1.5	2	2	0.5	0.5	2	8.5
250_menores_notas	33436	33436 (0429-021).txt	corpus/01_composicoes_brutas/menores_notas/33436.txt	{FO: vem}; {FO: irresponsavel}; {FO: des de}; {FO: urbanisação}; {FO: fértiu}; {FO: na}; {FO: freaticos}; {FO: erronia}; {FO: armonia}; {FO: beneficio}; {FO: tiver-mos}	1	1	2	0.5	2.5	1.5	8.5
250_menores_notas	33497	33497 (0453-003).txt	corpus/01_composicoes_brutas/menores_notas/33497.txt	{FO: à}; {FO: pecuaria}	2	1	2.5	0	0.5	2.5	8.5
250_menores_notas	33645	33645 (0410-012).txt	corpus/01_composicoes_brutas/menores_notas/33645.txt	{FO: pra}; {FO: nos}; {FO: conciência}	1.5	1	2	1.5	0.5	2	8.5
250_menores_notas	34236	34236 (0492-034).txt	corpus/01_composicoes_brutas/menores_notas/34236.txt	{FO: tantas}	1	1	3	0	1.5	2	8.5
250_menores_notas	34895	34895 (0508-053).txt	corpus/01_composicoes_brutas/menores_notas/34895.txt	{FO: a}	2	2	2	0.5	0	2	8.5
250_menores_notas	35131	35131 (0436-009).txt	corpus/01_composicoes_brutas/menores_notas/35131.txt		1	1	1	1	3	1.5	8.5
250_menores_notas	35220	35220 (0507-037).txt	corpus/01_composicoes_brutas/menores_notas/35220.txt	{FO: naufágio}	1	1	1.5	2	2	1	8.5
250_menores_notas	35906	35906 (0511-049).txt	corpus/01_composicoes_brutas/menores_notas/35906.txt		1	1	1	2.5	2	1	8.5
250_menores_notas	36172	36172 (0508-016).txt	corpus/01_composicoes_brutas/menores_notas/36172.txt	{FO: intensivo}; {FO: Medida}; {FO: providencias}; {FO: consequencia}; (Instituto Brasileiro de Geografia e Estatística); {FO: a}; {FO: conciente}	1	1	2	1.5	1	2	8.5
250_menores_notas	36188	36188 (0483-015).txt	corpus/01_composicoes_brutas/menores_notas/36188.txt	{FO: PRESERVA}; {FO: SUSTENTAVEL}; {FO: SERIE}; {FO: PREJUIZOS}; {FO: POLUIÇÃO}; {FO: DESTRUIÇÃO}; {FO: VARIAS}; {FO: ENRIQUECIMENTO}; {FO: SUSTENTAVEIS}; {FO: PRESERVAÇÃO}; {FO: PRINCIPIO}	1	1	2	1	2	1.5	8.5
250_menores_notas	36248	36248 (0518-028).txt	corpus/01_composicoes_brutas/menores_notas/36248.txt	{FO: à}; {FO: usa-lo}; {FO: a}; {FO: eficiencia}	1	1	2	0	2.5	2	8.5
250_menores_notas	36616	36616 (0485-014).txt	corpus/01_composicoes_brutas/menores_notas/36616.txt	{FO: já}; {FO: as}; {FO: através}; {FO: sobrevivência}	2	2	2.5	0	0	2	8.5
250_menores_notas	37212	37212 (0403-018).txt	corpus/01_composicoes_brutas/menores_notas/37212.txt	{FO: estavamos}; {FO: á}; {FO: sabiamos}; {FO: sobrevivencia}; {FO: porque}; {FO: socorre}	2	2	2.5	0	0	2	8.5
250_menores_notas	38036	38036 (0467-017).txt	corpus/01_composicoes_brutas/menores_notas/38036.txt		2	1.5	2.5	0	0	2.5	8.5
250_menores_notas	39516	39516 (0511-027).txt	corpus/01_composicoes_brutas/menores_notas/39516.txt		1.5	1.5	1.5	0.5	2	1.5	8.5
250_menores_notas	41096	41096 (0413-006).txt	corpus/01_composicoes_brutas/menores_notas/41096.txt		1.5	1	2.5	0	2	1.5	8.5
